"DATE","Primary.Energy.Consumed.by.the.Residential.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Residential.Sector","End.Use.Energy.Consumed.by.the.Residential.Sector","Residential.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Residential.Sector","Primary.Energy.Consumed.by.the.Commercial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Commercial.Sector","End.Use.Energy.Consumed.by.the.Commercial.Sector","Commercial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Commercial.Sector","Primary.Energy.Consumed.by.the.Industrial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Industrial.Sector","End.Use.Energy.Consumed.by.the.Industrial.Sector","Industrial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Industrial.Sector","Month","Formatted.Data","Total.Energy.Consumed"
1973,14320.9129107144,2825.6890612245,17146.5952312926,-19780.1733129252,-2631.6945000002,-2555.47696258502,3104.95367517006,549.702233843476,-13453.5084387756,-12903.669434524,-1264.80883758522,723.227859693855,-541.2812338437,-30438.2460629253,-30978.2006683673,"January",1973-01-01,10500.6271105434
1973,-17070.987494898,-6499.18271088436,-23570.2393282313,11304.3865977892,-12267.6614761903,-508.898057823135,-6991.39797023807,-7500.40157057821,1751.70602210892,-5749.11643282302,39260.2889115648,-2462.31361649658,36797.6249931974,28739.4344515307,65535.9838443879,"February",1973-02-01,21680.4033588443
1973,31874.2222755102,9212.51974489796,41086.9344166667,-3590.64407312936,37497.8379090135,11148.082037415,10410.9782636054,21559.0739906463,7713.71452465982,29273.4878494897,-51814.6324608843,3076.49545833332,-48737.8375603742,-27002.9878792518,-75740.1587933675,"March",1973-03-01,-8792.32814795979
1973,-53315.8551726191,-10067.4510255102,-63383.6645340136,-1461.15821938766,-64845.9090595237,-26787.8951760204,-12033.4369889455,-38821.217082483,-12327.7707134354,-51149.7951037415,57099.9696887752,-2742.79512414964,54356.9107984693,24360.3721564626,78717.1779141157,"April",1973-04-01,-23003.7806598637
1973,71254.0637806123,8010.43201785715,79265.0008664966,1292.63892857136,80558.1394999999,41639.1433809524,10168.4151522108,51807.2281088436,9567.24813180273,61375.1556445578,-87055.6073996593,1609.45681122447,-85445.8253724488,-20760.4195867347,-106206.786159864,"May",1973-05-01,25837.5997619049
1973,-75145.1975603741,-1852.33503656462,-76998.0354413265,7488.41365986398,-69509.6091845236,-48761.6875280613,-4198.84757142854,-52959.9422542517,1687.46842687072,-51272.9127763604,139447.151378401,514.704381802743,139961.34560119,17414.8476411565,157377.275215986,"June",1973-06-01,15540.2662899655
1973,58440.9227193877,-6755.27843452382,51685.890595238,-21983.9040280612,29701.7199498297,42985.1480246599,-3742.36359523812,39241.9979319727,-17369.9437346938,21872.3460331631,-168851.239416666,-3385.70225765309,-172236.19322449,-14546.1525484694,-186783.591958333,"July",1973-07-01,-67425.1686726184
1973,-24850.6190867346,13209.1618630952,-11641.2340127551,31631.6920204082,19990.7183937077,-25175.8294685375,9768.08991326533,-15406.8764370747,28645.0277423469,13237.7667363947,136842.320832483,5885.88385799322,142727.304284864,10139.8794804422,152868.125034014,"August",1973-08-01,86815.8722772104
1973,-9956.79654846948,-14579.2072763605,-24536.7288052721,-28280.0314455782,-52816.9052585036,3705.34795578235,-11439.9122083334,-7735.47870323145,-28428.3200671768,-36163.028971939,-56721.4464498298,-6885.31831037416,-63605.8493937075,-1492.87579931977,-65099.1871853744,"September",1973-09-01,-62972.895042517
1973,28366.2575450681,12260.8198222789,40628.1379396259,13672.7197491496,54300.9135382654,10934.2370348639,9383.67866411566,20318.9362738097,16521.4427823129,36839.0134540818,-23517.9351947279,6175.76360884354,-17343.0693630951,-12182.2393715986,-29525.0616522107,"October",1973-10-01,15782.5593852046
1973,-25253.6070765307,-9582.9928818027,-34837.7115765306,3325.04828486398,-31512.69089966,-14313.6410892857,-5935.69209013607,-20250.41402466,1027.0323256803,-19221.5077670069,68702.0610612246,-4311.76826190475,64391.2248392855,27526.5492236394,91917.358982993,"November",1973-11-01,29134.8128954072
1973,10866.1537083334,7859.04885629249,18726.0876488096,-14354.8851615647,4371.24408758511,10245.5598486394,2717.87975595239,12964.3445331634,-16183.5690017007,-3221.12723129245,-76130.5691130954,1891.29259268707,-74240.2153690474,-37013.8567049319,-111253.356573979,"December",1973-12-01,-55018.8555561214
1974,-790.252089285731,-5644.51293877549,-6435.27876870758,16675.6146870749,10240.2514999999,-6042.66996258498,357.526675170058,-5685.61176615651,23733.0545612245,18048.7785654762,61325.9571624152,665.171859693877,61991.9367661562,33853.1469370747,95844.1643316324,"January",1974-01-01,54493.0351105432
1974,5956.81550510201,1977.13828911564,7934.12867176882,-12273.3244022109,-4339.04647619042,7751.02894217684,-3853.70797023808,3897.3154294218,-23658.8669778911,-19762.0604328231,-41669.1400884356,-2944.55961649659,-44614.2820068025,-19310.9695484693,-63924.205155612,"February",1974-02-01,-27961.2956411557
1974,-28226.5817244897,1562.97274489796,-26663.6015833334,4574.71292687077,-22089.1020909865,-18234.278962585,7236.93726360543,-10997.0970093538,19484.0955246598,8486.89384948972,34403.4945391158,4818.55845833332,39222.4714396256,3832.65212074819,43053.9322066326,"March",1974-03-01,-12057.3661479596
1974,59412.4978273808,-2383.86702551021,57028.6464659865,4187.40978061225,61216.3039404764,35917.3418239796,-8812.43098894557,27104.7519175171,-14111.9557134353,12993.1208962586,-55532.5203112245,-6607.17612414965,-62140.1142015305,1808.90015646266,-60329.8760858845,"April",1974-04-01,39797.3193401361
1974,-85642.6522193876,-1368.63598214285,-87011.4871335034,-14967.3260714286,-101979.0865,-54554.2006190477,6883.38815221089,-47670.9348911565,7079.67013180269,-40591.5733554423,107583.68160034,8046.79881122448,115631.015627551,3383.44241326526,119013.045840136,"May",1974-05-01,-32613.171238095
1974,97517.8534396257,9326.51396343537,106844.722558673,28858.075659864,135703.207815476,66905.5874719388,-1348.90757142859,65557.0527457484,3269.49342687076,68826.8222236396,-171416.969621599,-7628.25461819728,-179045.81139881,-10994.5503588435,-190038.992784014,"June",1974-06-01,-6993.52871003448
1974,-98485.2242806122,-17677.1154345238,-116162.600404762,-41431.0030280612,-157594.40905017,-71223.5809753402,-5484.42259523807,-76708.4360680273,-15367.3917346939,-92076.1209668368,218535.290583334,4313.54774234694,222849.223775511,13017.8524515306,235865.895041667,"July",1974-07-01,48826.4853273815
1974,100788.374913265,21651.7588630952,122440.070987245,45754.0760204082,168195.585393708,72542.5765314626,10351.8249132653,82894.7235629252,24644.0057423469,107539.005736395,-230051.594167517,549.923857993201,-229501.646715137,-8729.28251955782,-238230.052965987,"August",1974-08-01,-56720.6427227895
1974,-108270.600548469,-19847.3822763605,-128117.706805272,-40523.2224455782,-168642.911258503,-74140.0670442177,-11546.9832083333,-85687.2177032313,-27978.1920671768,-113665.552971939,202777.15455017,-4323.83331037416,198453.014606293,2269.29420068026,200721.703814626,"September",1974-09-01,20366.4869574832
1974,107221.117545068,14726.9608222789,121947.994939626,30760.9197491497,152710.917538265,70700.9220348639,9716.08966411564,80416.9982738095,25764.9987823129,106181.941454082,-147928.368194728,5631.22760884355,-142296.959363095,2983.52662840138,-139312.900652211,"October",1974-10-01,29993.6713852041
1974,-83579.7700765306,-9595.2308818027,-93175.3975765306,-22566.622715136,-115743.38989966,-55680.8570892857,-6530.14109013605,-62210.6820246599,-20390.0946743197,-82600.5957670068,89221.2930612244,-4828.77826190477,84392.7318392858,-6684.69477636059,77707.4249829931,"November",1974-11-01,-50039.3341045921
1974,44392.9657083334,5577.5848562925,49971.3056488095,18692.5098384354,68664.2190875848,32315.6608486394,2984.49175595238,35299.4525331633,14408.3999982993,49707.6747687075,-49204.0951130952,2640.76759268708,-46563.7723690477,10762.6372950681,-35800.5515739794,"December",1974-12-01,27504.5314438779
1975,-12336.3100892858,-1299.84093877551,-13636.8847687075,-17391.5743129252,-31028.0374999998,-11708.149962585,1019.85067517006,-10687.3827661565,-9527.68543877556,-20214.9194345238,28288.3721624151,423.106859693878,28711.7147661566,-17414.1810629252,11297.2763316323,"January",1975-01-01,4243.9121105439
1975,4113.20450510212,-4155.04071088434,-41.4123282312421,15593.9675977891,15551.7165238093,2809.78394217681,-5578.16597023808,-2769.14757057821,6096.54402210891,3327.13056717697,-5910.96708843561,-3507.5486164966,-9418.29200680289,26323.7044515307,16905.1708443881,"February",1975-02-01,1012.02135884377
1975,-18155.3227244899,9310.27974489793,-8845.11158333337,-11851.6920731292,-20695.9630909863,-6270.02796258497,9738.61326360542,3468.86299064627,-3228.8664753402,240.62884948964,-31927.8004608841,5369.19245833334,-26559.1255603739,-33479.2998792518,-60037.8367933677,"March",1975-03-01,-56353.1511479592
1975,35076.671827381,-11783.6680255102,23292.7994659864,6147.4847806122,29439.7399404762,13694.2708239795,-11711.0079889455,1983.64191751696,103.61628656467,2086.09889625866,74128.6596887753,-5182.54212414967,68946.5457984692,33988.9801564626,102934.939914116,"April",1975-04-01,122899.602340136
