"DATE","Primary.Energy.Consumed.by.the.Residential.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Residential.Sector","End.Use.Energy.Consumed.by.the.Residential.Sector","Residential.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Residential.Sector","Primary.Energy.Consumed.by.the.Commercial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Commercial.Sector","End.Use.Energy.Consumed.by.the.Commercial.Sector","Commercial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Commercial.Sector","Primary.Energy.Consumed.by.the.Industrial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Industrial.Sector","End.Use.Energy.Consumed.by.the.Industrial.Sector","Industrial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Industrial.Sector","Month","Formatted.Data"
1973,9.75433067651466e-11,7.16340764483903e-10,1.13914211397059e-10,6.10259576205863e-09,2.63412403000984e-09,2.29476881941082e-10,9.04174157767557e-09,6.33917807135731e-10,2.37538415603922e-08,1.57643853526679e-08,2.08301571547054e-07,6.40074802049639e-08,2.76186710834736e-07,1.89298759778467e-07,4.84870724903885e-07,"January",-2.64117261394858e-09
1973,-1.04137143353e-10,-1.64931179824634e-10,-7.74207364884205e-11,-2.9347120289458e-09,-1.31512933876365e-09,-2.60115484707057e-10,-5.32132560238097e-09,-5.30803845322225e-10,-1.37737288241624e-08,-8.93214746611193e-09,-1.2487225831137e-07,-3.83132032766298e-08,-1.65327037393581e-07,-1.13071564555867e-07,-2.90772732114419e-07,"February",9.3496055342257e-10
1973,6.2186700233724e-11,-3.86307874578051e-10,-4.51336745754816e-11,-8.29516011435771e-10,-3.64934749086387e-10,2.39708697336027e-10,3.0634339509561e-10,2.47041498369072e-10,4.72425654152175e-10,-3.51519702235237e-10,4.08363121096045e-09,3.02316038869321e-09,7.04039848642424e-09,8.84341488927021e-09,1.81189534487203e-08,"March",4.36557456851006e-11
1973,6.82121026329696e-12,8.21984258436714e-10,1.68938640854321e-10,4.36534719483461e-09,2.04158823180478e-09,-1.81046289071674e-10,4.75473882488586e-09,1.13743681140477e-10,1.28868578030961e-08,9.91974502539961e-09,1.2455893738661e-07,3.29152953781886e-08,1.59652245201869e-07,9.69492930380511e-08,2.6511861506151e-07,"April",-3.76530806533992e-10
1973,-4.99085217597894e-11,-1.15639409159485e-09,-2.27601049118675e-10,-7.52282858229592e-09,-3.66003405360971e-09,1.21872290037572e-10,-9.32476496018353e-09,-4.68958205601666e-10,-2.49642653216142e-08,-1.88374542631209e-08,-2.46759555011522e-07,-6.56233112295013e-08,-3.16492332785856e-07,-1.92994320968864e-07,-5.27932570548728e-07,"May",8.34916136227548e-10
1973,5.50244294572622e-11,1.42625822263653e-09,2.03840500034858e-10,1.01930481832824e-08,5.19366949447431e-09,-9.39621713769156e-11,1.30243478224656e-08,7.74662112235092e-10,3.48107960235211e-08,2.63178208115278e-08,3.49409674527124e-07,9.22339324915811e-08,4.47431375505403e-07,2.71035105470219e-07,7.44852513889782e-07,"June",-1.89902493730187e-09
1973,-5.72981662116945e-11,-1.62737023856607e-09,-1.18461684905924e-10,-1.20649588097876e-08,-6.49788489681669e-09,1.01806563179707e-10,-1.54645363181771e-08,-1.02568264992442e-09,-4.13773477703216e-08,-3.15060333377915e-08,-4.1760495150811e-07,-1.09478406784547e-07,-5.34058017365169e-07,-3.21572144912352e-07,-8.86950147105381e-07,"July",3.14321368932724e-09
1973,8.65156835061498e-11,1.75018044501485e-09,1.90993887372315e-11,1.29949739857693e-08,7.38737071515061e-09,-1.34320998768089e-10,1.65896523185438e-08,1.20962795335799e-09,4.4446608171711e-08,3.41485701937927e-08,4.46211970484001e-07,1.16516957859858e-07,5.70275460631819e-07,3.42208750225836e-07,9.45628016779665e-07,"August",-3.68345354218036e-09
1973,-1.37788447318599e-10,-1.78218328983348e-09,3.72892827726901e-11,-1.30086164062959e-08,-7.62088347983081e-09,1.77692527358886e-10,-1.64972959737497e-08,-1.25612586998614e-09,-4.42213945461845e-08,-3.41899522027234e-08,-4.38041297456948e-07,-1.14414945073804e-07,-5.60019088879926e-07,-3.36154585056647e-07,-9.28504960029386e-07,"September",3.1814124668017e-09
1973,1.89402271644212e-10,1.67901248460112e-09,-1.98951966012828e-11,1.19747483040555e-08,6.94740265316796e-09,-2.09865902434103e-10,1.50364343198817e-08,1.08309450297384e-09,4.03027797801769e-08,3.1127228794503e-08,3.93486061511794e-07,1.03214233604376e-07,5.03736373502761e-07,3.03536182855169e-07,8.36294020700734e-07,"October",-2.17914930544794e-09
1973,-2.24645191337913e-10,-1.4297825146059e-09,-5.50244294572622e-11,-9.90843318504631e-09,-5.49925971427001e-09,2.0679635781562e-10,-1.22857954920619e-08,-7.17363946023397e-10,-3.29428644363361e-08,-2.51851588473073e-08,-3.19047103403136e-07,-8.41756389036163e-08,-4.09168023907114e-07,-2.47927516738855e-07,-6.80777702655178e-07,"November",1.39698386192322e-09
1973,2.29761099035386e-10,1.13826104097825e-09,1.39152689371258e-10,7.48593720345525e-09,3.99063537770417e-09,-1.6814283299027e-10,9.16666920147691e-09,3.16333625960397e-10,2.46065496867232e-08,1.84900272870436e-08,2.39094106291304e-07,6.32751095963613e-08,3.06844412989449e-07,1.86718807526631e-07,5.11629878019448e-07,"December",-9.58607415668666e-10
1974,-1.90084392670542e-10,-9.41184907787829e-10,-1.8224000086775e-10,-5.55286305825575e-09,-3.1077433959581e-09,1.19371179607697e-10,-6.70326016916079e-09,-2.67164068645798e-11,-1.79690005097655e-08,-1.33121602630126e-08,-1.77260972122895e-07,-4.65739162791579e-08,-2.26789779844694e-07,-1.37616666506801e-07,-3.78192453354131e-07,"January",4.42014425061643e-10
1974,1.08002495835535e-10,8.60666204971494e-10,1.58820512297098e-10,4.21744061895879e-09,2.79737832897808e-09,-8.12292455520947e-11,4.87899853851559e-09,-1.32217792270239e-10,1.29413706417836e-08,9.64428181760013e-09,1.31119122670498e-07,3.34356968778593e-08,1.66138306667563e-07,9.87241151051421e-08,2.75249021797208e-07,"February",5.20230969414115e-10
1974,-2.0122570276726e-11,-8.26133828013553e-10,-8.21955836727284e-11,-3.11746362058329e-09,-2.5665940484032e-09,5.58202373213135e-11,-3.13244186145312e-09,1.96564542420674e-10,-8.09376388133387e-09,-6.32974206382642e-09,-8.70384155859938e-08,-2.03844479074178e-08,-1.07917003333569e-07,-5.98945462115807e-08,-1.7445790945203e-07,"March",-1.87901605386287e-09
1974,-2.42152964347042e-11,8.22893753138487e-10,-9.66338120633736e-12,2.47666775976541e-09,2.38105712924153e-09,-4.5304204832064e-11,1.8538059975981e-09,-1.30000898934668e-10,4.60590854345355e-09,4.17719547840534e-09,5.61872184334788e-08,1.07322364328866e-08,6.69565451971721e-08,3.10442374029662e-08,1.01512341643684e-07,"April",3.26144800055772e-09
1974,1.17097442853265e-11,-9.22881326914649e-10,8.39008862385526e-11,-3.11109715767088e-09,-2.76781975117046e-09,6.01971805735957e-11,-2.35141328630561e-09,-1.32445165945683e-10,-6.0148863667564e-09,-5.77620085095987e-09,-7.06691025698092e-08,-1.3532542197936e-08,-8.48162926558871e-08,-3.89925389754353e-08,-1.276061993849e-07,"May",-4.20368451159447e-09
1974,1.84172677109018e-11,1.1465317584225e-09,-1.21872290037572e-10,5.15808551426744e-09,3.9224232750712e-09,-1.00214947451605e-10,4.96547158945759e-09,5.16024556418415e-10,1.31398110170267e-08,1.15716147774947e-08,1.3639873941429e-07,3.0831785124974e-08,1.69300619745627e-07,8.98696725926129e-08,2.67541054199683e-07,"June",4.3437466956675e-09
1974,-2.17141860048287e-11,-1.35671029966034e-09,1.10162545752246e-10,-7.33348315407056e-09,-5.11136022396386e-09,1.44382283906452e-10,-7.9288895449281e-09,-7.83415998739656e-10,-2.11906012737018e-08,-1.77026322489837e-08,-2.07638777283137e-07,-5.06530852817377e-08,-2.61780314758653e-07,-1.48462504512281e-07,-4.24174231739016e-07,"July",-3.66162566933781e-09
1974,4.54747350886464e-12,1.3524754649552e-09,-4.47926140623167e-11,7.93772869656095e-09,5.28984855918679e-09,-1.70587100001285e-10,8.82843664840038e-09,7.52208961785072e-10,2.37561152971466e-08,1.92223978956463e-08,2.2436643121182e-07,5.69116025417316e-08,2.85149781120708e-07,1.67403698014823e-07,4.68336565973004e-07,"August",2.66209099208936e-09
1974,-9.09494701772928e-12,-1.07678488348029e-09,-5.32054400537163e-11,-6.53676579531748e-09,-4.22687662648968e-09,1.75987224793062e-10,-7.07561298440851e-09,-5.03632691106759e-10,-1.9284186691948e-08,-1.51485437527299e-08,-1.71832425621687e-07,-4.54179769349139e-08,-2.20249148696894e-07,-1.34244544369722e-07,-3.67082520824624e-07,"September",-2.09092831937596e-09
1974,4.75210981676355e-11,6.90562274030526e-10,1.35514710564166e-10,4.35176161772688e-09,2.7648638933897e-09,-1.70359726325842e-10,4.428898137121e-09,3.1025138014229e-10,1.2369866908557e-08,9.30265287024667e-09,9.41647613217356e-08,2.74882268058718e-08,1.23217432701495e-07,8.20569425741269e-08,2.12862687476445e-07,"October",2.21280060941353e-09
1974,-8.70841176947579e-11,-4.1362113734067e-10,-1.49611878441647e-10,-2.95426616503391e-09,-1.93062987818848e-09,1.55409907165449e-10,-3.04876834889001e-09,-3.59136720362585e-10,-8.65804850036511e-09,-6.1587570598931e-09,-4.95342646900099e-08,-1.78547168161458e-08,-6.79483491694555e-08,-5.39200186722155e-08,-1.2692407835857e-07,"November",-2.4929249775596e-09
1974,1.06638253782876e-10,3.09228198602796e-10,8.18545231595635e-11,2.70972577709472e-09,1.91676008398645e-09,-1.22042820294155e-10,3.30643956658605e-09,5.83952441957081e-10,9.14468500923249e-09,6.42239683656953e-09,5.41003828402609e-08,1.99694056846056e-08,7.45176294003613e-08,5.98489009462355e-08,1.40301381179597e-07,"December",2.20279616769403e-09
1975,-1.30512489704415e-10,-2.47268872044515e-10,1.68256519827992e-11,-2.54448195846635e-09,-1.98087946046144e-09,6.9576344685629e-11,-3.56919827027014e-09,-7.5556272349786e-10,-9.58885948421084e-09,-6.75333922117716e-09,-6.84829046804225e-08,-2.30706120873947e-08,-9.23178049561102e-08,-6.83145913171757e-08,-1.67710368259577e-07,"January",-1.20508047984913e-09
1975,1.87583282240666e-10,8.29345481179189e-11,-6.68478605803102e-11,1.28636656882009e-09,1.32354216475505e-09,-1.52340362546965e-11,2.13239559343492e-09,7.00765667716041e-10,5.53905010747258e-09,3.7283598430804e-09,4.23690380557673e-08,1.44420937431278e-08,5.74191290070303e-08,4.22519974563329e-08,1.04551872937009e-07,"February",-9.09494701772928e-12
1975,-2.59660737356171e-10,1.46002321343985e-10,3.04680725093931e-11,8.11894551588921e-10,-1.75077730091289e-11,-2.33058017329313e-11,7.32768512534676e-10,-4.44060788140632e-10,2.24741825149977e-09,2.10047801374458e-09,2.58419277088251e-08,5.20952880833647e-09,3.13502823701128e-08,1.59444653036189e-08,4.77261892228853e-08,"March",8.42192093841732e-10
1975,2.91834112431388e-10,-2.29050556299626e-10,6.19593265582807e-11,-2.1005917005823e-09,-9.86574377748184e-10,4.32578417530749e-11,-2.86416934613953e-09,1.78204118128633e-10,-7.97837174104643e-09,-6.39863628748572e-09,-8.07874585007085e-08,-2.05552623810945e-08,-1.0253143045702e-07,-6.11005930295505e-08,-1.68236510944553e-07,"April",-9.70430846791714e-10
1975,-2.50565790338442e-10,-1.44098066812148e-11,-1.49725565279368e-10,1.05615072243381e-09,7.03039404470474e-10,-4.58157956018113e-11,2.17744400288211e-09,-1.15164766611997e-10,6.07809624852962e-09,4.94844698550878e-09,6.20079845248256e-08,1.57937165568001e-08,7.87708813732024e-08,4.68795064989536e-08,1.28958618006436e-07,"May",4.5656634029001e-10
1975,1.58820512297098e-10,5.68121549804346e-10,1.90766513696872e-10,2.42789610638283e-09,1.09707798401359e-09,2.48405740421731e-11,1.72843783730059e-09,3.39355210599024e-10,4.46203785031685e-09,3.08693870465504e-09,4.34542926086579e-08,1.21139009934268e-08,5.63622961635701e-08,3.54737039742758e-08,9.60903889790643e-08,"June",2.31921148952097e-10
1975,-6.9576344685629e-11,-1.23310428534751e-09,-1.79056769411545e-10,-7.04562808095943e-09,-3.73051989299711e-09,2.00657268578652e-11,-7.48553929952323e-09,-7.57495399739128e-10,-1.9865694866894e-08,-1.48701246871497e-08,-1.94534550246317e-07,-5.24297831816511e-08,-2.50505763688125e-07,-1.54290773934918e-07,-4.19909611082403e-07,"July",-4.76575223729014e-10
1975,1.72803993336856e-11,1.76899561665778e-09,1.33240973809734e-10,1.09818074633949e-08,6.06019057158846e-09,-7.04289959685411e-11,1.28383135233889e-08,1.1746692507586e-09,3.40527321895934e-08,2.57097099165549e-08,3.27720272252918e-07,8.85922020188445e-08,4.22404809796717e-07,2.60844615240785e-07,7.08025254425593e-07,"August",6.54836185276508e-11
1975,-7.38964445190504e-12,-2.03934291675978e-09,-7.7875483839307e-11,-1.29835484585783e-08,-7.2532202466391e-09,1.03057118394645e-10,-1.58978537001531e-08,-1.44336809171364e-09,-4.20637888964848e-08,-3.1784338716534e-08,-3.97421899833716e-07,-1.08154523559278e-07,-5.13001396029722e-07,-3.18523348141753e-07,-8.61495664139511e-07,"September",6.35736796539277e-10
1975,3.79714037990198e-11,2.06810568670335e-09,2.95585778076202e-11,1.30344801618776e-08,7.29028215573635e-09,-1.14368958747946e-10,1.62786477631016e-08,1.55398538481677e-09,4.29919850830629e-08,3.24515667671221e-08,4.00885255658068e-07,1.09671560721836e-07,5.17942680744454e-07,3.2310759934262e-07,8.71470092533855e-07,"October",-1.30603439174592e-09
1975,-1.07547748484649e-10,-1.96877181224409e-09,9.54969436861575e-12,-1.20762138067221e-08,-6.74958755553234e-09,1.2238388080732e-10,-1.50896823924995e-08,-1.57376689458033e-09,-3.98213728658448e-08,-3.0034811970836e-08,-3.68994051314075e-07,-1.0113976145476e-07,-4.7678304326837e-07,-2.9817806534993e-07,-8.03229340817779e-07,"November",2.19279172597453e-09
1975,2.07478478841949e-10,1.79909420694457e-09,-4.78621586808003e-11,1.08316271507647e-08,6.05359673500061e-09,-1.43927536555566e-10,1.34387505568156e-08,1.50930645759217e-09,3.54600047103304e-08,2.67211817117641e-08,3.2713387554395e-07,8.96777976322483e-08,4.22651737608248e-07,2.64660286575236e-07,7.12596829544054e-07,"December",-3.64434527000412e-09
