"DATE","Quarter","Primary.Energy.Consumed.by.the.Residential.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Residential.Sector","End.Use.Energy.Consumed.by.the.Residential.Sector","Residential.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Residential.Sector","Primary.Energy.Consumed.by.the.Commercial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Commercial.Sector","End.Use.Energy.Consumed.by.the.Commercial.Sector","Commercial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Commercial.Sector","Primary.Energy.Consumed.by.the.Industrial.Sector","Electricity.Sales.to.Ultimate.Customers.in.the.Industrial.Sector","End.Use.Energy.Consumed.by.the.Industrial.Sector","Industrial.Sector.Electrical.System.Energy.Losses","Total.Energy.Consumed.by.the.Industrial.Sector","GDP","Month","Formatted.Data"
1973,"Q1",1949.2959622731,470.763937114019,2436.97216449202,1151.45942239861,3676.94443271934,1023.61733632765,358.093116007776,1377.5566471645,872.487829792769,2339.87398766118,5847.74661646938,554.85741213209,6396.71333435557,1314.04108303331,7696.47501214244,5472.5913381749,"January",1094.85194029654
1973,"Q2",1947.34155652111,475.021511794704,2439.42523022553,1160.2638028421,3684.65744303673,1023.31896912278,362.333521222217,1382.66199794673,881.842536124625,2350.05596693187,5850.24032569859,562.050868437935,6407.14017689454,1333.56385175283,7728.20793721567,5516.02808244595,"April",1186.16438310759
1973,"Q3",1945.38715076912,479.279120233102,2441.87829595904,1169.0675602826,3692.37060462415,1023.02061964262,366.574049062431,1387.76734872897,891.196653033411,2360.2376990129,5852.68647454232,569.236942801117,6417.51074186353,1353.0635308761,7759.85823002205,5559.4526732954,"July",1277.47682591863
1973,"Q4",1943.43274501713,483.536819855273,2444.33136169255,1177.86968807085,3700.0841905511,1022.72231800312,370.814910338469,1392.8726995112,900.549252602916,2370.41884246775,5855.00862418837,576.403743876882,6427.73455315287,1372.50289523625,7791.2929429762,5602.84623399584,"October",1368.78926872968
1974,"Q1",1941.47833926513,487.794696290205,2446.78442742606,1186.66877480705,3707.79863249636,1022.42410894453,375.056422178181,1397.97805029344,909.899074496136,2380.59901547916,5857.10019387531,583.534648013434,6437.68541435033,1391.82985498002,7822.32647755554,5646.18353573583,"January",1460.10171154073
1974,"Q2",1939.52393351314,492.052863301899,2449.23749315957,1195.46307361289,3715.51453618328,1022.12605152332,379.299008552561,1403.08340107567,919.244616736343,2390.77788448276,5858.82998226994,590.609132502708,6447.20791859241,1410.98003191724,7852.7300520784,5689.43507681355,"April",1551.41415435178
1974,"Q3",1937.56952776115,496.311462927626,2451.69055889308,1204.2505708535,3723.23269653291,1021.82821880097,383.543200610877,1408.18875185791,928.584224286185,2400.95524956869,5860.04752644845,597.603587142489,6456.12376978529,1429.87927089474,7882.24090500086,5732.5690714425,"July",1642.72659716282
1974,"Q4",1935.61512200916,500.570665789634,2454.14362462659,1213.02905397712,3730.95411235452,1021.5306975279,387.789636721591,1413.29410264014,937.916174835525,2411.13112608652,5860.58828003309,604.492100882924,6464.23789292802,1448.44607615787,7910.57119989357,5775.55333711368,"October",1734.03903997387
1975,"Q1",1933.66071625717,504.830671543878,2456.5966903601,1221.79617810031,3738.68000037149,1021.23358782056,392.039062110317,1418.39945342238,947.238761162076,2421.30582183639,5860.27858964353,611.247219961765,6471.34430843978,1466.59396153262,7937.41659412598,5818.35706825099,"January",1825.35148278491
1975,"Q2",1931.70631050518,509.091709425282,2459.04975609361,1230.54953091995,3746.41180835796,1020.93700282955,396.292327970876,1423.50480420461,956.550369339362,2431.48000915113,5858.94044642737,617.840673481143,6477.23174246828,1484.23370183581,7962.4644287276,5860.95248271807,"April",1916.66392559596
