DATE,Quarter,Primary Energy Consumed by the Residential Sector,Electricity Sales to Ultimate Customers in the Residential Sector,End-Use Energy Consumed by the Residential Sector,Residential Sector Electrical System Energy Losses,Total Energy Consumed by the Residential Sector,Primary Energy Consumed by the Commercial Sector,Electricity Sales to Ultimate Customers in the Commercial Sector,End-Use Energy Consumed by the Commercial Sector,Commercial Sector Electrical System Energy Losses,Total Energy Consumed by the Commercial Sector,Primary Energy Consumed by the Industrial Sector,Electricity Sales to Ultimate Customers in the Industrial Sector,End-Use Energy Consumed by the Industrial Sector,Industrial Sector Electrical System Energy Losses,Total Energy Consumed by the Industrial Sector,GDP,Month,Formatted Data,Total Energy Consumed,Avg.Temp
1973,Q1,3497.543,507.558,4005.1,1174.763,5179.863,1773.872,361.292,2135.165,835.848,2971.013,5794.743,565.474,6360.217,1307.986,7668.203,5646.286,January,1-Jan-73,11066.158,29.59
1973,Q2,1618.239,432.004,2050.243,1054.452,3104.696,878.484,360.096,1238.58,879.944,2118.524,5949.235,580.525,6529.758,1415.982,7945.741,5707.755,April,1-Apr-73,8445.958,33.58
1973,Q3,962.389,570.058,1532.447,1360.765,2893.214,608.617,424.047,1032.664,1012.533,2045.197,6206.504,597.768,6804.272,1426.614,8230.885,5677.738,July,1-Jul-73,7777.51,44.29
1973,Q4,2147.877,466.718,2614.595,1104.238,3718.835,1162.01,371.218,1533.228,876.943,2410.17,6737.14,597.157,7334.297,1411.101,8745.398,5731.632,October,1-Oct-73,10047.027,48.83
1974,Q1,3210.954,500.723,3711.679,1175.772,4887.451,1639.053,351.947,1990.999,826.43,2817.429,5722.147,566.631,6288.777,1330.642,7619.42,5682.353,January,1-Jan-74,10572.154,59.23
1974,Q2,1593.733,446.616,2040.348,1095.536,3135.884,853.042,359.599,1212.64,883.291,2095.931,5566.777,583.599,6150.375,1433.465,7583.841,5695.859,April,1-Apr-74,8013.552,68.95
1974,Q3,956.815,556.796,1513.611,1347.114,2860.725,605.411,417.221,1022.63,1008.462,2031.094,6108.77,604.053,6712.823,1458.008,8170.831,5642.025,July,1-Jul-74,7670.996,73.26
1974,Q4,2147.095,468.627,2615.722,1154.988,3770.71,1161.754,372.568,1534.322,916.509,2450.831,6364.054,582.511,6946.565,1430.876,8377.442,5620.126,October,1-Oct-74,9672.903,72.61
1975,Q1,3233.965,522.188,3756.153,1220.88,4977.032,1537.037,381.405,1918.442,891.71,2810.151,5491.551,571.65,6063.201,1336.408,7399.608,5551.713,January,1-Jan-75,10262.553,64.4
1975,Q2,1760.1,451.528,2211.629,1114.383,3326.011,886.179,381.32,1267.5,942.901,2210.4,4626.651,571.858,5198.508,1413.045,6611.554,5591.382,April,1-Apr-75,7272.93,56.07
1975,Q3,964.369,568.795,1533.164,1348.199,2881.364,582.083,445.395,1027.479,1055.384,2082.863,5316.983,596.583,5913.565,1410.614,7324.18,5687.087,July,1-Jul-75,6863.435,42.93
1975,Q4,2031.862,464.223,2496.085,1130.976,3627.061,1054.056,389.705,1443.762,947.259,2391.021,5965.164,606.272,6571.436,1473.049,8044.485,5763.665,October,1-Oct-75,9051.082,33.71
1976,Q1,3300.504,554.028,3854.531,1294.49,5149.022,1629.885,406.22,2036.105,949.42,2985.524,5352.404,611.94,5964.346,1430.408,7394.753,5893.276,January,1-Jan-76,10282.793,31.01
1976,Q2,1600.354,441.769,2042.123,1072.841,3114.964,839.394,394.326,1233.72,959.087,2192.808,5212.87,639.476,5852.346,1553.639,7405.985,5936.515,April,1-Apr-76,7652.618,34.74
1976,Q3,975.024,564.708,1539.733,1336.21,2875.944,603.247,463.118,1066.365,1095.406,2161.77,5623.568,662.117,6285.685,1563.979,7849.663,5969.089,July,1-Jul-76,7201.839,44.38
1976,Q4,2515.947,508.709,3024.656,1243.696,4268.351,1299.12,414.279,1713.4,1010.969,2724.369,6439.093,659.35,7098.443,1608.471,8706.913,6012.356,October,1-Oct-76,10254.16,51.55
1977,Q1,3601.304,609.96,4211.264,1406.796,5618.06,1708.405,429.143,2137.547,989.99,3127.538,5434.296,643.233,6077.528,1483.173,7560.701,6083.391,January,1-Jan-77,10744.005,60.37
1977,Q2,1457.54,461.375,1918.916,1131.393,3050.307,794.899,414.324,1209.223,1017.469,2226.692,5516.78,677.106,6193.886,1661.472,7855.358,6201.659,April,1-Apr-77,7769.219,68.49
1977,Q3,959.623,619.958,1579.581,1489.648,3069.229,617.369,487.327,1104.697,1169.376,2274.072,5864.988,684.293,6549.28,1640.087,8189.366,6313.559,July,1-Jul-77,7441.98,74.08
1977,Q4,2175.828,510.263,2686.09,1234.524,3920.614,1137.654,423.072,1560.727,1020.523,2581.25,6307.404,677.328,6984.732,1633.416,8618.148,6313.697,October,1-Oct-77,9620.886,70.3
