Contiguous U.S. December Average Temperature,,
Units: Degrees Fahrenheit,,
Base Period: 1973-2020,,
Missing: -99,,
Date,Value,Anomaly
197301,29.59,-1.8
197302,33.58,-1.46
197303,44.29,1.12
197304,48.83,-2.84
197305,59.23,-1.52
197306,68.95,-0.29
197307,73.26,-0.92
197308,72.61,-0.08
197309,64.4,-1.08
197310,56.07,1.79
197311,42.93,0.25
197312,33.71,0.04
197401,31.01,-0.38
197402,34.74,-0.3
197403,44.38,1.21
197404,51.55,-0.12
197405,60.37,-0.38
197406,68.49,-0.75
197407,74.08,-0.1
197408,70.3,-2.39
197409,62.31,-3.17
197410,53.89,-0.39
197411,42.39,-0.29
197412,33.66,-0.01
197501,32.34,0.95
197502,32.76,-2.28
197503,38.7,-4.47
197504,46.85,-4.82
197505,60.35,-0.4
197506,67.51,-1.73
197507,73.56,-0.62
197508,71.53,-1.16
197509,62.89,-2.59
197510,54.63,0.35
197511,42.6,-0.08
197512,34.29,0.62
197601,29.93,-1.46
197602,39.56,4.52
197603,42.31,-0.86
197604,51.85,0.18
197605,59.04,-1.71
197606,67.8,-1.44
197607,72.9,-1.28
197608,70.66,-2.03
197609,64.18,-1.3
197610,50,-4.28
197611,38.48,-4.2
197612,30.92,-2.75
197701,23.09,-8.3
197702,36.03,0.99
197703,43.18,0.01
197704,54.07,2.4
197705,61.66,0.91
197706,70.34,1.1
197707,74.43,0.25
197708,71.78,-0.91
197709,65.93,0.45
197710,53.98,-0.3
197711,42.87,0.19
197712,33.28,-0.39
197801,25.86,-5.53
197802,27.99,-7.05
197803,41.31,-1.86
197804,51.58,-0.09
197805,59.74,-1.01
197806,68.94,-0.3
197807,73.8,-0.38
197808,71.8,-0.89
197809,65.84,0.36
197810,54.41,0.13
197811,41.47,-1.21
197812,29.8,-3.87
197901,21.9,-9.49
197902,28.13,-6.91
197903,42.06,-1.11
197904,50.14,-1.53
197905,59.13,-1.62
197906,67.82,-1.42
197907,73.13,-1.05
197908,70.97,-1.72
197909,66.09,0.61
197910,55.26,0.98
197911,39.94,-2.74
197912,36.03,2.36
198001,31.12,-0.27
198002,32.85,-2.19
198003,39.36,-3.81
198004,51.44,-0.23
198005,60.28,-0.47
198006,68.74,-0.5
198007,75.76,1.58
198008,72.79,0.1
198009,66.24,0.76
198010,52.59,-1.69
198011,42.31,-0.37
198012,35.19,1.52
198101,32.41,1.02
198102,36.59,1.55
198103,42.85,-0.32
198104,55.13,3.46
198105,58.96,-1.79
198106,69.82,0.58
198107,73.96,-0.22
198108,72.1,-0.59
198109,64.92,-0.56
198110,52.32,-1.96
198111,44.74,2.06
198112,33.66,-0.01
198201,26.22,-5.17
198202,32.59,-2.45
198203,42.03,-1.14
198204,48.63,-3.04
198205,60.8,0.05
198206,66.33,-2.91
198207,73.2,-0.98
198208,72.09,-0.6
198209,64.04,-1.44
198210,53.26,-1.02
198211,41.13,-1.55
198212,35.82,2.15
198301,33.12,1.73
198302,36.86,1.82
198303,42.4,-0.77
198304,47.01,-4.66
198305,57.94,-2.81
198306,67.1,-2.14
198307,73.99,-0.19
198308,75.06,2.37
198309,65.59,0.11
198310,55,0.72
198311,43.03,0.35
198312,25.47,-8.2
198401,28.83,-2.56
198402,37.38,2.34
198403,40.08,-3.09
198404,49.6,-2.07
198405,60.08,-0.67
198406,68.61,-0.63
198407,73.17,-1.01
198408,73.13,0.44
198409,63.14,-2.34
198410,53.6,-0.68
198411,41.54,-1.14
198412,34.54,0.87
198501,26.31,-5.08
198502,30.87,-4.17
198503,43.48,0.31
198504,54.36,2.69
198505,62.08,1.33
198506,68.11,-1.13
198507,74.05,-0.13
198508,71.02,-1.67
198509,62.73,-2.75
198510,54.3,0.02
198511,39.51,-3.17
198512,28.81,-4.86
198601,34.68,3.29
198602,35.85,0.81
198603,46.18,3.01
198604,52.86,1.19
198605,61.09,0.34
198606,70.41,1.17
198607,73.51,-0.67
198608,71.73,-0.96
198609,63.7,-1.78
198610,54.01,-0.27
198611,41.4,-1.28
198612,34.43,0.76
198701,31.44,0.05
198702,37.38,2.34
198703,42.57,-0.6
198704,53.53,1.86
198705,62.96,2.21
198706,70.25,1.01
198707,73.27,-0.91
198708,71.87,-0.82
198709,65.25,-0.23
198710,52.95,-1.33
198711,43.97,1.29
198712,34.54,0.87
198801,27.79,-3.6
198802,33.69,-1.35
198803,42.4,-0.77
198804,51.82,0.15
198805,61.21,0.46
198806,70.88,1.64
198807,74.79,0.61
198808,73.67,0.98
198809,64.6,-0.88
198810,53.96,-0.32
198811,43.29,0.61
198812,33.46,-0.21
198901,34.09,2.7
198902,29.17,-5.87
198903,42.67,-0.5
198904,52.88,1.21
198905,60.46,-0.29
198906,68.13,-1.11
198907,74.23,0.05
198908,71.31,-1.38
198909,64.08,-1.4
198910,54.34,0.06
198911,42.93,0.25
198912,27.73,-5.94
199001,36.5,5.11
199002,36.7,1.66
199003,44.74,1.57
199004,52.52,0.85
199005,58.86,-1.89
199006,70.23,0.99
199007,73.26,-0.92
199008,72.28,-0.41
199009,67.35,1.87
199010,53.98,-0.3
199011,44.92,2.24
199012,30.83,-2.84
199101,29.48,-1.91
199102,39.81,4.77
199103,43.32,0.15
199104,52.54,0.87
199105,61.97,1.22
199106,69.08,-0.16
199107,73.89,-0.29
199108,72.99,0.3
199109,64.9,-0.58
199110,54.75,0.47
199111,39.43,-3.25
199112,35.74,2.07
199201,33.62,2.23
199202,39.7,4.66
199203,44.71,1.54
199204,52.54,0.87
199205,61.16,0.41
199206,67.44,-1.8
199207,71.22,-2.96
199208,69.84,-2.85
199209,64.67,-0.81
199210,54.54,0.26
199211,40.06,-2.62
199212,31.75,-1.92
199301,30.47,-0.92
199302,31.14,-3.9
199303,41.79,-1.38
199304,49.91,-1.76
199305,60.89,0.14
199306,67.21,-2.03
199307,72.16,-2.02
199308,71.89,-0.8
199309,63.3,-2.18
199310,52.97,-1.31
199311,39.22,-3.46
199312,34.2,0.53
199401,29.34,-2.05
199402,31.87,-3.17
199403,44.51,1.34
199404,52.66,0.99
199405,60.67,-0.08
199406,70.95,1.71
199407,73.62,-0.56
199408,72.21,-0.48
199409,65.55,0.07
199410,54.21,-0.07
199411,42.57,-0.11
199412,36.23,2.56
199501,33.08,1.69
199502,37.36,2.32
199503,43.34,0.17
199504,49.41,-2.26
199505,58.64,-2.11
199506,67.55,-1.69
199507,73.54,-0.64
199508,74.32,1.63
199509,64.69,-0.79
199510,54.45,0.17
199511,42.04,-0.64
199512,33.42,-0.25
199601,29.7,-1.69
199602,35.69,0.65
199603,39.02,-4.15
199604,50.65,-1.02
199605,60.98,0.23
199606,69.87,0.63
199607,73.63,-0.55
199608,72.43,-0.26
199609,63.46,-2.02
199610,53.65,-0.63
199611,39.63,-3.05
